model,accuracy,f1,delta_accuracy_vs_yin,delta_f1_vs_yin
Random Forest + IGL1,0.8431789829015924,0.8375803104135818,0.0007789829015923955,0.009080310413581816
MLP + IGL1,0.8322448081015631,0.8258989642503992,-0.010155191898436944,-0.0026010357496007996
Gradient Boosting + IGL1,0.8388860350774199,0.8217982261930529,-0.0035139649225801595,-0.006701773806947142
KNN + IGL1,0.8156233947310486,0.8180830597767892,-0.026776605268951426,-0.010416940223210824
SVM + IGL1,0.7705290966463638,0.74914100704746,-0.07187090335363622,-0.07935899295254001
